    ksoftirqd/19-132     [019] ..s1. 1803229.480603: bpf_trace_printk: throughput: 13625651 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803230.480589: bpf_trace_printk: throughput: 13626317 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803231.480575: bpf_trace_printk: throughput: 13627904 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803232.480560: bpf_trace_printk: throughput: 13630554 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803233.480546: bpf_trace_printk: throughput: 13606433 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803234.480532: bpf_trace_printk: throughput: 13584989 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803235.480520: bpf_trace_printk: throughput: 13582120 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803236.480503: bpf_trace_printk: throughput: 13567748 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803237.480488: bpf_trace_printk: throughput: 13583551 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803238.480474: bpf_trace_printk: throughput: 13614269 (pps)
    ksoftirqd/19-132     [019] ..s1. 1803239.480460: bpf_trace_printk: throughput: 13620288 (pps)
